"UniproId"	"motifStart"	"motifMean"	"motifPercent."	"motifPercent_wogaps."	"consvCheck"	"Description"	"modularity_class.x"	"modularity_class.y"	"motifMeanDis"	"premotif5"	"keywords"
"P04629"	493	0.992248062015504	0.880233690360273	0.837730870712401	TRUE	"Neurotrophic tyrosine kinase receptor"	4	2	0.1425755	0.4116956	"adrenal gland:7.0,brain:21.7;Bipolar cells:25.4,granulocytes:30.0,Horizontal cells:18.6;\"Differentiation\",\"Neurogenesis\""
"F5H094"	335	0.828828828828829	0.839285714285714	0.8352	TRUE	"solute carrier organic anion transporter"	9	11	0.00307225	0.0114099	"0;0;0"
"G3V0H7"	288	0.828828828828829	0.841836734693878	0.834405144694534	TRUE	"solute carrier organic anion transporter"	9	11	0.00307225	0.0114099	"0;0;0"
"P21860"	1325	0.96551724137931	0.671102661596958	0.831712789827973	TRUE	"tyrosine kinase receptor"	4	8	0.4634175	0.5175467	"NA;Proximal enterocytes:210.8,Schwann cells:220.7;NA"
"Q16620"	513	0.990566037735849	0.762100926879506	0.808536585365854	TRUE	"Neurotrophic tyrosine kinase receptor"	4	2	0.24316625	0.2368122	"brain:230.0,thyroid gland:116.9;Astrocytes:1108.7,Excitatory neurons:739.7,Inhibitory neurons:857.4,Oligodendrocyte precursor cells:534.3;\"Differentiation\",\"Neurogenesis\""
"Q96KG7"	927	0.905852417302799	0.474466109563603	0.807142857142857	TRUE	"epidermal growth factor"	2	3	0.3442935	0.4931423	"brain:52.6;Astrocytes:211.6,Oligodendrocyte precursor cells:93.4,Oligodendrocytes:360.3;\"Cell adhesion\",\"Myogenesis\",\"Phagocytosis\""
"Q96KK3"	212	0.952830188679245	0.645083932853717	0.803030303030303	TRUE	"Potassium voltage-gated channel"	6	9	0.05521775	0.1087916	"brain:22.8;Alveolar cells type 2:2.5,Cholangiocytes:5.8,Excitatory neurons:6.1;\"Ion transport\",\"Potassium transport\",\"Transport\""
"O94826"	183	0.717605004468275	0.420256991685563	0.785992217898833	TRUE	"Mitochondrial import receptor"	NA	NA	0.23859875	0.3210838	"NA;NA;\"Host-virus interaction\""
"Q14114"	863	0.945017182130584	0.641434262948207	0.769144144144144	TRUE	"lipoprotein receptor"	2	0	0.73453525	0.4987594	"testis:24.0,thyroid gland:41.5;Bipolar cells:40.8,Excitatory neurons:35.4,Granulosa cells:76.1,Horizontal cells:51.3,Inhibitory neurons:113.9,Microglial cells:42.0,Sertoli cells:35.9;\"Endocytosis\",\"Host-virus interaction\""
"Q7Z443"	1254	0.869281045751634	0.559938128383604	0.767099056603774	TRUE	"Polycystin"	3	NA	0.37386375	0.2685896	"liver:1.0;Excitatory neurons:2.5,Inhibitory neurons:2.1,Microglial cells:1.8,Oligodendrocytes:1.4;\"Calcium transport\",\"Ion transport\",\"Transport\""
"Q53EL9"	978	0.971887550200803	0.656603773584906	0.75979381443299	TRUE	"Seizure protein 6"	0	0	0.2301485	0.4274426	"brain:54.7,pituitary gland:15.8,retina:27.0;Bipolar cells:61.6,Cone photoreceptor cells:22.4,Excitatory neurons:15.6,Horizontal cells:70.5,Inhibitory neurons:23.8,Rod photoreceptor cells:21.1;NA"
"P01130"	825	0.908805031446541	0.518169582772544	0.758961681087763	TRUE	"lipoprotein receptor"	2	0	0.39181375	0.2289805	"adrenal gland:112.1;Alveolar cells type 1:272.7,Alveolar cells type 2:420.9,Suprabasal keratinocytes:288.8;\"Cholesterol metabolism\",\"Endocytosis\",\"Host-virus interaction\",\"Lipid metabolism\",\"Lipid transport\",\"Steroid metabolism\",\"Sterol metabolism\",\"Transport\""
"P05556"	780	0.932835820895522	0.496245733788396	0.756620428751576	TRUE	"Integrin beta"	2	5	0.28565125	0.3957953	"NA;Ductal cells:1134.5;\"Cell adhesion\",\"Host-virus interaction\",\"Myogenesis\""
"P05556"	792	0.930348258706468	0.479863481228669	0.735182849936948	TRUE	"Integrin beta"	2	5	0.2472935	0.2967701	"NA;Ductal cells:1134.5;\"Cell adhesion\",\"Host-virus interaction\",\"Myogenesis\""
"A0AVI4"	271	0.777777777777778	0.321029082774049	0.731843575418994	TRUE	"ubiquitin transferase"	NA	NA	0.21380525	0.1035516	"NA;NA;\"Ubl conjugation pathway\",\"Unfolded protein response\""
"Q92932"	813	0.919191919191919	0.719618055555556	0.719262295081967	TRUE	"Receptor-type tyrosine-protein phosphatase"	7	6	0.4573395	0.4846777	"brain:49.9,pancreas:98.1;Excitatory neurons:433.1,Inhibitory neurons:423.5,Oligodendrocyte precursor cells:132.4;\"Lipid metabolism\",\"Phospholipid metabolism\""
"P18433"	431	0.950724637681159	0.553641346906813	0.713168187744459	TRUE	"Receptor-type tyrosine-protein phosphatase"	7	6	0.03707775	0.0533816	"NA;NA;NA"
"Q9BZV3"	1160	0.827838827838828	0.5777045579352	0.707928802588997	TRUE	"Interphotoreceptor matrix proteoglycan"	2	NA	0.2534075	0.3775649	"retina:305.4;Cone photoreceptor cells:649.7,Rod photoreceptor cells:341.0;NA"
"P16473"	610	0.922222222222222	0.390361445783132	0.706434316353887	TRUE	"Thyrotropin receptor"	4	NA	0.07534475	0.00994	"thyroid gland:273.9;Excitatory neurons:6.9,Inhibitory neurons:12.1,Langerhans cells:7.2,Oligodendrocytes:8.9,Plasma cells:15.1;NA"
